JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457270.44345,12.222,0.007,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.402,-7.957,,WASP-52,AAVSO,STD,0,,,
2457270.44422,12.223,0.007,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.338,-7.923,,WASP-52,AAVSO,STD,0,,,
2457270.44499,12.212,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.383,-7.957,,WASP-52,AAVSO,STD,0,,,
2457270.44575,12.208,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.359,-7.949,,WASP-52,AAVSO,STD,0,,,
2457270.44653,12.202,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.336,-7.910,,WASP-52,AAVSO,STD,0,,,
2457270.44729,12.195,0.008,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-7.982,-7.594,,WASP-52,AAVSO,STD,0,,,
2457270.44883,12.230,0.007,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.140,-7.689,,WASP-52,AAVSO,STD,0,,,
2457270.44959,12.201,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.333,-7.920,,WASP-52,AAVSO,STD,0,,,
2457270.45036,12.210,0.007,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.345,-7.919,,WASP-52,AAVSO,STD,0,,,
2457270.45113,12.213,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.388,-7.959,,WASP-52,AAVSO,STD,0,,,
2457270.45190,12.192,0.007,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.096,-7.667,,WASP-52,AAVSO,STD,0,,,
2457270.45266,12.223,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.284,-7.873,,WASP-52,AAVSO,STD,0,,,
2457270.45344,12.186,0.007,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.192,-7.784,,WASP-52,AAVSO,STD,0,,,
2457270.45420,12.229,0.007,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.199,-7.731,,WASP-52,AAVSO,STD,0,,,
2457270.45497,12.218,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.370,-7.943,,WASP-52,AAVSO,STD,0,,,
2457270.45574,12.221,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.368,-7.951,,WASP-52,AAVSO,STD,0,,,
2457270.45650,12.204,0.009,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-7.852,-7.429,,WASP-52,AAVSO,STD,0,,,
2457270.45728,12.201,0.010,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-7.574,-7.149,,WASP-52,AAVSO,STD,0,,,
2457270.45804,12.194,0.007,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.082,-7.713,,WASP-52,AAVSO,STD,0,,,
2457270.45881,12.216,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.294,-7.870,,WASP-52,AAVSO,STD,0,,,
2457270.45943,12.214,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.380,-7.973,,WASP-52,AAVSO,STD,0,,,
2457270.46021,12.243,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.384,-7.966,,WASP-52,AAVSO,STD,0,,,
2457270.46174,12.224,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.402,-7.964,,WASP-52,AAVSO,STD,0,,,
2457270.46251,12.233,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.378,-7.962,,WASP-52,AAVSO,STD,0,,,
