#,target,auid,jd,mag,uncertainty,fainterthan,band,type,observer,airmass,transformed
1,WASP-52,000-BLD-637,2457270.44345,12.222,0.007,False,Johnson V,CCD,STAC,,False
2,WASP-52,000-BLD-637,2457270.44422,12.223,0.007,False,Johnson V,CCD,STAC,,False
3,WASP-52,000-BLD-637,2457270.44499,12.212,0.006,False,Johnson V,CCD,STAC,,False
4,WASP-52,000-BLD-637,2457270.44575,12.208,0.006,False,Johnson V,CCD,STAC,,False
5,WASP-52,000-BLD-637,2457270.44653,12.202,0.006,False,Johnson V,CCD,STAC,,False
6,WASP-52,000-BLD-637,2457270.44729,12.195,0.008,False,Johnson V,CCD,STAC,,False
7,WASP-52,000-BLD-637,2457270.44883,12.230,0.007,False,Johnson V,CCD,STAC,,False
8,WASP-52,000-BLD-637,2457270.44959,12.201,0.006,False,Johnson V,CCD,STAC,,False
9,WASP-52,000-BLD-637,2457270.45036,12.210,0.007,False,Johnson V,CCD,STAC,,False
10,WASP-52,000-BLD-637,2457270.45113,12.213,0.006,False,Johnson V,CCD,STAC,,False
11,WASP-52,000-BLD-637,2457270.45190,12.192,0.007,False,Johnson V,CCD,STAC,,False
12,WASP-52,000-BLD-637,2457270.45266,12.223,0.006,False,Johnson V,CCD,STAC,,False
13,WASP-52,000-BLD-637,2457270.45344,12.186,0.007,False,Johnson V,CCD,STAC,,False
14,WASP-52,000-BLD-637,2457270.45420,12.229,0.007,False,Johnson V,CCD,STAC,,False
15,WASP-52,000-BLD-637,2457270.45497,12.218,0.006,False,Johnson V,CCD,STAC,,False
16,WASP-52,000-BLD-637,2457270.45574,12.221,0.006,False,Johnson V,CCD,STAC,,False
17,WASP-52,000-BLD-637,2457270.45650,12.204,0.009,False,Johnson V,CCD,STAC,,False
18,WASP-52,000-BLD-637,2457270.45728,12.201,0.010,False,Johnson V,CCD,STAC,,False
19,WASP-52,000-BLD-637,2457270.45804,12.194,0.007,False,Johnson V,CCD,STAC,,False
20,WASP-52,000-BLD-637,2457270.45881,12.216,0.006,False,Johnson V,CCD,STAC,,False
21,WASP-52,000-BLD-637,2457270.45943,12.214,0.006,False,Johnson V,CCD,STAC,,False
22,WASP-52,000-BLD-637,2457270.46021,12.243,0.006,False,Johnson V,CCD,STAC,,False
23,WASP-52,000-BLD-637,2457270.46174,12.224,0.006,False,Johnson V,CCD,STAC,,False
24,WASP-52,000-BLD-637,2457270.46251,12.233,0.006,False,Johnson V,CCD,STAC,,False
25,WASP-52,000-BLD-637,2457270.46328,12.235,0.006,False,Johnson V,CCD,STAC,,False
26,WASP-52,000-BLD-637,2457270.46405,12.216,0.006,False,Johnson V,CCD,STAC,,False
27,WASP-52,000-BLD-637,2457270.46481,12.222,0.006,False,Johnson V,CCD,STAC,,False
28,WASP-52,000-BLD-637,2457270.46558,12.246,0.006,False,Johnson V,CCD,STAC,,False
29,WASP-52,000-BLD-637,2457270.46635,12.231,0.006,False,Johnson V,CCD,STAC,,False
30,WASP-52,000-BLD-637,2457270.46712,12.232,0.006,False,Johnson V,CCD,STAC,,False
31,WASP-52,000-BLD-637,2457270.46788,12.230,0.006,False,Johnson V,CCD,STAC,,False
32,WASP-52,000-BLD-637,2457270.46866,12.224,0.006,False,Johnson V,CCD,STAC,,False
33,WASP-52,000-BLD-637,2457270.46942,12.246,0.006,False,Johnson V,CCD,STAC,,False
34,WASP-52,000-BLD-637,2457270.47020,12.255,0.006,False,Johnson V,CCD,STAC,,False
35,WASP-52,000-BLD-637,2457270.47326,12.244,0.006,False,Johnson V,CCD,STAC,,False
36,WASP-52,000-BLD-637,2457270.47403,12.249,0.006,False,Johnson V,CCD,STAC,,False
37,WASP-52,000-BLD-637,2457270.47480,12.260,0.006,False,Johnson V,CCD,STAC,,False
38,WASP-52,000-BLD-637,2457270.47557,12.210,0.006,False,Johnson V,CCD,STAC,,False
39,WASP-52,000-BLD-637,2457270.47633,12.251,0.006,False,Johnson V,CCD,STAC,,False
40,WASP-52,000-BLD-637,2457270.47711,12.239,0.006,False,Johnson V,CCD,STAC,,False
41,WASP-52,000-BLD-637,2457270.47787,12.240,0.006,False,Johnson V,CCD,STAC,,False
42,WASP-52,000-BLD-637,2457270.47863,12.239,0.006,False,Johnson V,CCD,STAC,,False
43,WASP-52,000-BLD-637,2457270.47941,12.236,0.006,False,Johnson V,CCD,STAC,,False
