#,target,auid,jd,mag,uncertainty,fainterthan,band,type,observer,airmass,transformed
1,WASP-52,000-BLD-637,2460827.08702,12.2086,0.0589,False,Johnson V,CCD,TKVA,1.394,False
2,WASP-52,000-BLD-637,2460827.08792,12.2017,0.0588,False,Johnson V,CCD,TKVA,1.387,False
3,WASP-52,000-BLD-637,2460827.08882,12.2133,0.0590,False,Johnson V,CCD,TKVA,1.380,False
4,WASP-52,000-BLD-637,2460827.08972,12.2112,0.0589,False,Johnson V,CCD,TKVA,1.373,False
5,WASP-52,000-BLD-637,2460827.09062,12.2088,0.0589,False,Johnson V,CCD,TKVA,1.366,False
6,WASP-52,000-BLD-637,2460827.09153,12.203,0.0588,False,Johnson V,CCD,TKVA,1.360,False
7,WASP-52,000-BLD-637,2460827.09242,12.1993,0.0588,False,Johnson V,CCD,TKVA,1.353,False
8,WASP-52,000-BLD-637,2460827.09332,12.1908,0.0587,False,Johnson V,CCD,TKVA,1.347,False
9,WASP-52,000-BLD-637,2460827.09423,12.1869,0.0586,False,Johnson V,CCD,TKVA,1.341,False
10,WASP-52,000-BLD-637,2460827.09512,12.1922,0.0587,False,Johnson V,CCD,TKVA,1.334,False
11,WASP-52,000-BLD-637,2460827.09602,12.1995,0.0588,False,Johnson V,CCD,TKVA,1.328,False
12,WASP-52,000-BLD-637,2460827.09693,12.2068,0.0589,False,Johnson V,CCD,TKVA,1.322,False
13,WASP-52,000-BLD-637,2460827.09782,12.2105,0.0589,False,Johnson V,CCD,TKVA,1.316,False
14,WASP-52,000-BLD-637,2460827.09872,12.2125,0.0590,False,Johnson V,CCD,TKVA,1.311,False
15,WASP-52,000-BLD-637,2460827.09962,12.2054,0.0589,False,Johnson V,CCD,TKVA,1.305,False
16,WASP-52,000-BLD-637,2460827.10053,12.1869,0.0586,False,Johnson V,CCD,TKVA,1.299,False
17,WASP-52,000-BLD-637,2460827.10144,12.1815,0.0586,False,Johnson V,CCD,TKVA,1.294,False
18,WASP-52,000-BLD-637,2460827.10233,12.174,0.0585,False,Johnson V,CCD,TKVA,1.288,False
19,WASP-52,000-BLD-637,2460827.92268,12.2126,0.0519,False,Johnson V,CCD,DTYA,1.353,False
20,WASP-52,000-BLD-637,2460827.92358,12.2147,0.0519,False,Johnson V,CCD,DTYA,1.350,False
21,WASP-52,000-BLD-637,2460827.92448,12.2039,0.0518,False,Johnson V,CCD,DTYA,1.348,False
22,WASP-52,000-BLD-637,2460827.92538,12.2028,0.0518,False,Johnson V,CCD,DTYA,1.345,False
